imgurl,name,course,cuisine,keyword,summary,ingredients,nutritions,Times
https://recipe52.com/wp-content/uploads/2016/12/bhindi-masala-1-360x360.gif,Bhindi Recipe (Pakistani),Main Course,Pakistani,bhindi recipe,A quick bhindi recipe for lunch or side dish that tastes homely and yummy.,"['okra', 'salt', 'oil', 'chopped garlic', 'cumin seeds or powder', 'fenugreek seeds', 'coriander powder', 'turmeric powder', 'ginger \xa0paste', 'green chili paste', 'salt', 'onions', 'tomatoes', 'tamarind pulp', 'sugar', 'green chilli']","{'Calories': '276 kcal', 'Carbohydrates': '25 g', 'Protein': '4 g', 'Fat': '20 g', 'Saturated Fat': '1 g', 'Polyunsaturated Fat': '5 g', 'Monounsaturated Fat': '12 g', 'Trans Fat': '0.1 g', 'Sodium': '725 mg', 'Potassium': '732 mg', 'Fiber': '8 g', 'Sugar': '10 g', 'Vitamin A': '1669 IU', 'Vitamin C': '51 mg', 'Calcium': '142 mg', 'Iron': '2 mg'}","{'PrepTime': '10 minutes', 'CookTime': '20 minutes'}"
https://recipe52.com/wp-content/uploads/2021/08/Cherry-ice-cream-9-360x360.jpg,Black Cherry Ice Cream Recipe,Dessert,World,"Cherry Ice Cream, Cherry Recipe, no churn",So easy and quick cherry ice cream  that can be paired any pie or cookie.,"['fresh cherries', 'heavy cream', 'sweetened condensed milk', 'lemon juice']","{'Calories': '235 kcal', 'Carbohydrates': '9 g', 'Protein': '2 g', 'Fat': '22 g', 'Saturated Fat': '14 g', 'Polyunsaturated Fat': '1 g', 'Monounsaturated Fat': '6 g', 'Cholesterol': '82 mg', 'Sodium': '25 mg', 'Potassium': '148 mg', 'Fiber': '1 g', 'Sugar': '5 g', 'Vitamin A': '1621 IU', 'Vitamin C': '7 mg', 'Calcium': '48 mg', 'Iron': '1 mg'}","{'PrepTime': '10 minutes', 'CookTime': '7 minutes', 'freezingtime': '6 hours'}"
https://recipe52.com/wp-content/uploads/2020/06/Bohra-Fried-Chicken-18-360x360.jpg,Bohra Fried Chicken,"Side Dish, Snack",Bohra Recipes,Bohra Fried Chicken,"It has a soft, succulent coating made with bread crumb, cooked chicken, and eggs. Use steaming to re-heat the fried chicekn. Check steaming steps above in the post. (above step by step)","['skinless chicken', 'tomato', 'lemon juice', 'yogurt', 'oil', 'minced green chili', 'minced ginger', 'minced garlic', 'cumin powder', 'corriander powder', 'Kashmiri chili ', 'salt ', 'turmeric', 'black pepper powder', 'bread crumbs', 'eggs', 'salt', 'red chilli powder', 'water', 'Oil']","{'Calories': '519 kcal', 'Carbohydrates': '10 g', 'Protein': '31 g', 'Fat': '39 g', 'Saturated Fat': '4 g', 'Polyunsaturated Fat': '11 g', 'Monounsaturated Fat': '23 g', 'Trans Fat': '0.1 g', 'Cholesterol': '150 mg', 'Sodium': '496 mg', 'Potassium': '453 mg', 'Fiber': '2 g', 'Sugar': '2 g', 'Vitamin A': '569 IU', 'Vitamin C': '9 mg', 'Calcium': '73 mg', 'Iron': '3 mg'}","{'PrepTime': '20 minutes', 'CookTime': '30 minutes', 'Restingtime': '30 minutes'}"
https://recipe52.com/wp-content/uploads/2018/02/Kaari-Chawal-2-1-of-1-500x500.jpg,Kaari Chawal Recipe,Main Course,"Bohra Cuisine, Bohra Recipes","bohra, Kari chawal, lamb curry recipe",A unique nut and coconut based curry that can be eaten with Karak bread and rice.,"['oil', 'green chilli paste', 'ginger garlic paste', ' curry leaves', 'onion', 'lamb', 'Kari masala', 'water', 'coconut milk ', 'water ', 'tamarind water', 'rice', 'Salt', 'peppercorn', 'cloves', 'cumin seeds', 'oil', 'desiccated coconut', 'fried onion']","{'Calories': '871 kcal', 'Carbohydrates': '71 g', 'Protein': '22 g', 'Fat': '57 g', 'Saturated Fat': '17 g', 'Trans Fat': '1 g', 'Cholesterol': '24 mg', 'Sodium': '115 mg', 'Potassium': '193 mg', 'Fiber': '5 g', 'Sugar': '5 g', 'Vitamin A': '28 IU', 'Vitamin C': '15 mg', 'Calcium': '101 mg', 'Iron': '3 mg'}","{'PrepTime': '10 minutes', 'CookTime': '40 minutes'}"
https://recipe52.com/wp-content/uploads/2024/03/Kaari-masala-2-360x360.jpg,Bohra Kaari Masala,Condiment,Bohra Cuisine,"bohra spice, Kari masala","A very rich masala, that can also be added to other curries.","['roasted black gram', 'cashew nuts', 'almonds', 'peanuts', 'sesame seeds', 'poppy seeds', 'pumpkin seeds', 'coriander seeds', 'cumin seeds', 'fennel seeds', 'black pepper', 'cloves', 'button red chili', 'star anise', 'salt', ' Kashmiri chilli powder', 'ginger powder', 'turmeric powder']","{'Calories': '91 kcal', 'Carbohydrates': '5 g', 'Protein': '4 g', 'Fat': '7 g', 'Saturated Fat': '1 g', 'Polyunsaturated Fat': '2 g', 'Monounsaturated Fat': '3 g', 'Trans Fat': '0.001 g', 'Sodium': '203 mg', 'Potassium': '140 mg', 'Fiber': '2 g', 'Sugar': '0.4 g', 'Vitamin A': '111 IU', 'Vitamin C': '0.2 mg', 'Calcium': '51 mg', 'Iron': '1 mg'}","{'PrepTime': '8 minutes', 'CookTime': '2 minutes'}"
https://recipe52.com/wp-content/uploads/2017/12/Karma-bohra-dessert.jpg,Bohra Kalamra Recipe,Dessert,Bohra Recipes,"bohra dessert, rice and yogurt kheer",A delicious dessert with simple ingredients. Serve chilled!,"['basmati rice,', 'water', 'milk', 'sugar ', ' yogurt', 'rose water', 'pomegranate arils', 'mixed nuts', 'raisins', 'rose petals,', 'cream']","{'Calories': '544 kcal', 'Carbohydrates': '92 g', 'Protein': '12 g', 'Fat': '16 g', 'Saturated Fat': '8 g', 'Polyunsaturated Fat': '1 g', 'Monounsaturated Fat': '5 g', 'Cholesterol': '43 mg', 'Sodium': '108 mg', 'Potassium': '512 mg', 'Fiber': '2 g', 'Sugar': '59 g', 'Vitamin A': '497 IU', 'Vitamin C': '2 mg', 'Calcium': '304 mg', 'Iron': '1 mg'}","{'PrepTime': '10 minutes', 'CookTime': '30 minutes', 'Soakingtimeandchilingtime': '4 hours'}"
https://recipe52.com/wp-content/uploads/2022/05/Khurdi-mutton-soup-360x360.jpg,Mutton Soup Recipe (Bohra Khurdi),Soup,Bohra Recipes,"Khurdi, Mutton soup",How about a spiced mutton soup with a fresh minty aroma? Make authentic Bohra Khurdi with accurate steps and tips to make it perfect every single time.,"['lamb / mutton  bone-in', 'oil', 'cumin seeds', 'black pepper corns', 'cinnamon', 'bay leaf', 'ginger paste', 'garlic paste', 'green chili paste', ' onion', 'plain flour', 'water', 'milk', 'mint leaves', 'green chilies', 'Salt and pepper']","{'Calories': '117 kcal', 'Carbohydrates': '7 g', 'Protein': '3 g', 'Fat': '9 g', 'Saturated Fat': '2 g', 'Polyunsaturated Fat': '2 g', 'Monounsaturated Fat': '5 g', 'Trans Fat': '1 g', 'Cholesterol': '7 mg', 'Sodium': '40 mg', 'Potassium': '116 mg', 'Fiber': '1 g', 'Sugar': '3 g', 'Vitamin A': '164 IU', 'Vitamin C': '1 mg', 'Calcium': '94 mg', 'Iron': '1 mg'}","{'PrepTime': '10 minutes', 'CookTime': '1 hour'}"
https://recipe52.com/wp-content/uploads/2023/08/Keema-ki-khichdi-1-3-1-300x300.jpg,Keema Khichri,Main Course,Bohra Recipes,keema ki khichri,"Happily wedded unision of bhuna qeema, khichri and boiled eggs.","[' basmati rice', 'yellow lentil', 'black peppers', 'cloves', 'cinnamon', 'turmeric ', 'cumin', 'salt ', 'ground meat', 'oil', 'onion ', 'ginger paste', 'garlic paste', 'green chilli paste', 'black pepper', 'cloves', 'cinnamon stick', 'black cardamom', 'cumin', 'turmeric', 'red chilli powder ', 'round red chilli', 'coriander powder', 'tomato', 'yogurt', 'lemon juice', 'salt', 'potato', 'boiled eggs', 'green coriander ', 'green chilli', 'oil', 'water']","{'Calories': '715 kcal', 'Carbohydrates': '61 g', 'Protein': '25 g', 'Fat': '42 g', 'Saturated Fat': '7 g', 'Trans Fat': '1 g', 'Cholesterol': '92 mg', 'Sodium': '104 mg', 'Potassium': '949 mg', 'Fiber': '15 g', 'Sugar': '6 g', 'Vitamin A': '620 IU', 'Vitamin C': '42 mg', 'Calcium': '97 mg', 'Iron': '5 mg'}","{'PrepTime': '30 minutes', 'CookTime': '1 hour'}"
https://recipe52.com/wp-content/uploads/2017/12/Bohra-red-chicken.jpg,Ketchup Chicken Recipe (Tikka Flavor),Main Course,"Bohra Cuisine, Bohra Recipes","Bohra chicken, Red chicken",This chicken is usually served before biryani or pulao in bohra cuisine.  Taste yummy every time. T,"['whole skinless chicken ', 'Chicken Tikka Spice Mix', 'ginger garlic paste', 'yogurt', 'butter', 'lemon juice', 'tomato ketchup', 'chilli garlic sauce', 'cream', 'boiled macaroni ', 'steamed assorted vegetable', 'oil', 'cumin', 'round button red chillies', ' charcoal', ' oil', 'egg ', 'fresh coriander', 'Slims chips', 'Salad leaves']","{'Calories': '553 kcal', 'Carbohydrates': '16 g', 'Protein': '46 g', 'Fat': '33 g', 'Saturated Fat': '13 g', 'Trans Fat': '1 g', 'Cholesterol': '208 mg', 'Sodium': '1000 mg', 'Potassium': '667 mg', 'Fiber': '2 g', 'Sugar': '8 g', 'Vitamin A': '2794 IU', 'Vitamin C': '10 mg', 'Calcium': '85 mg', 'Iron': '2 mg'}","{'PrepTime': '10 minutes', 'CookTime': '20 minutes'}"
https://recipe52.com/wp-content/uploads/2024/09/coffee-Ice-Cream-5-300x300.jpg,Coffee Ice Cream Recipe,Dessert,World,"coffee ice cream, homemade, no churn, no machine, with chocolate, with condensed milk, without eggs, without ice cream maker","Enjoy this rich, toasty coffee ice cream, which is super creamy and rich and tastes divine!","[' dulce de leche', 'hot milk', 'instant coffee', 'granulated sugar', 'hot water', 'heavy whipping cream']","{'Calories': '150 kcal', 'Carbohydrates': '4 g', 'Protein': '1 g', 'Fat': '15 g', 'Saturated Fat': '9 g', 'Polyunsaturated Fat': '1 g', 'Monounsaturated Fat': '4 g', 'Cholesterol': '46 mg', 'Sodium': '14 mg', 'Potassium': '85 mg', 'Sugar': '3 g', 'Vitamin A': '594 IU', 'Vitamin C': '0.2 mg', 'Calcium': '36 mg', 'Iron': '0.1 mg'}","{'PrepTime': '15 minutes', 'freezingtime': '4 hours'}"
https://recipe52.com/wp-content/uploads/2022/02/Brownie-with-oil-6-1-300x300.jpg,Brownie Recipe With Oil,Dessert,World,Cocoa brownie with oil,This pantry-friendly cocoa brownie with oil will become your go-to brownie recipe. The top is crackly and the center is fudgy is so easy to get.,"['oil', 'icing sugar', 'brown sugar', 'eggs ', 'plain flour', 'unsweetened cocoa powder', ' salt']","{'Calories': '168 kcal', 'Carbohydrates': '23 g', 'Protein': '3 g', 'Fat': '9 g', 'Saturated Fat': '1 g', 'Trans Fat': '1 g', 'Cholesterol': '35 mg', 'Sodium': '53 mg', 'Potassium': '92 mg', 'Fiber': '2 g', 'Sugar': '14 g', 'Vitamin A': '51 IU', 'Calcium': '17 mg', 'Iron': '1 mg'}","{'PrepTime': '15 minutes', 'CookTime': '25 minutes'}"
https://recipe52.com/wp-content/uploads/2018/09/Chapli-Kabab-blog-1-of-1-edited-360x360.jpg,Chapli Kabab Recipe,"Main Course, Side Dish","afghan, Pakistani, Peshawari","chapli kabab recipe, chapli kebab recipe, peshawri kabab recipe",Delicious groundmeat cutlets bursting with spices and fragrant aroma.,"['dried pomegranate arils', 'red chilli flakes', 'cumin seeds', 'coriander seeds', 'fennel seeds', 'Kashmiri chilli powder', 'ginger powder', 'black salt', 'gram masala powder', 'turmeric powder', 'ground meat', ' chopped onion', 'cornmeal ', 'ginger garlic paste', 'chopped fresh coriander', 'chopped green chilli', 'butter', ' chopped tomato', 'Ghee ']","{'Calories': '239 kcal', 'Carbohydrates': '54 g', 'Protein': '4 g', 'Fat': '2 g', 'Saturated Fat': '1 g', 'Polyunsaturated Fat': '1 g', 'Monounsaturated Fat': '1 g', 'Cholesterol': '1 mg', 'Sodium': '584 mg', 'Potassium': '179 mg', 'Fiber': '4 g', 'Sugar': '36 g', 'Vitamin A': '574 IU', 'Vitamin C': '4 mg', 'Calcium': '33 mg', 'Iron': '2 mg'}","{'PrepTime': '15 minutes', 'CookTime': '15 minutes', 'Restingtime': '30 minutes'}"
https://recipe52.com/wp-content/uploads/2022/06/cherry-jam-15-360x360.jpg,Cherry Jam (without Pectin),Butters and Jams,World,"cherry jam, cherry peserve",The cherry preserve has a very delicious taste and fruity aroma and lovely color that is so worth making this. The cherry preserve is essentially a cherry jam without pectin and can be used similarly.,"['fresh cherry', 'granulated sugar', 'lemon juice']","{'Calories': '55 kcal', 'Carbohydrates': '14 g', 'Protein': '1 g', 'Fat': '1 g', 'Saturated Fat': '1 g', 'Polyunsaturated Fat': '1 g', 'Monounsaturated Fat': '1 g', 'Sodium': '1 mg', 'Potassium': '59 mg', 'Fiber': '1 g', 'Sugar': '13 g', 'Vitamin A': '16 IU', 'Vitamin C': '3 mg', 'Calcium': '4 mg', 'Iron': '1 mg'}","{'PrepTime': '20 minutes', 'CookTime': '20 minutes', 'Restingtime': '4 hours'}"
https://recipe52.com/wp-content/uploads/2023/09/Chicken-pasta-1200-1-360x360.jpg,Chicken Pasta (with White Sauce),Main Course,"American, Italian",Chicken alfredo pasta recipe,"Chicken, corn and pasta wrapped in a cheesy in pot, 30 minutes meal.","['boneless chicken', 'garlic powder', 'dried oregano', 'dried basil', 'onion powder', 'chili flakes', 'salt ', 'oil', 'flour', 'sweet corn', 'chicken cube', 'chopped green chillies', ' pepper', 'milk', 'dry penne pasta', 'shredded cheese', 'dried oregano']","{'Calories': '907 kcal', 'Carbohydrates': '105 g', 'Protein': '46 g', 'Fat': '35 g', 'Saturated Fat': '7 g', 'Polyunsaturated Fat': '8 g', 'Monounsaturated Fat': '17 g', 'Trans Fat': '0.1 g', 'Cholesterol': '93 mg', 'Sodium': '679 mg', 'Potassium': '1029 mg', 'Fiber': '6 g', 'Sugar': '14 g', 'Vitamin A': '707 IU', 'Vitamin C': '8 mg', 'Calcium': '286 mg', 'Iron': '3 mg'}","{'PrepTime': '15 minutes', 'CookTime': '40 minutes'}"
https://recipe52.com/wp-content/uploads/2022/09/Chicken-boti-2-360x360.jpg,Chicken Boti,Dinner Recipes,Indian,chicken boti,Just 30 minutes of active time for restaurant-style chicken boti kabab. Amazing right!,"['chicken ', 'ginger paste', 'garlic paste', 'lemon juice', 'green chili paste ', 'Greek yogurt', 'Kashmiri chili powder', 'red chili flakes', 'black pepper', 'garam masala ', 'cumin powder', 'coriander powder', 'sugar', 'ghee ']","{'Calories': '128 kcal', 'Carbohydrates': '6 g', 'Protein': '3 g', 'Fat': '11 g', 'Saturated Fat': '6 g', 'Polyunsaturated Fat': '1 g', 'Monounsaturated Fat': '3 g', 'Cholesterol': '27 mg', 'Sodium': '92 mg', 'Potassium': '158 mg', 'Fiber': '2 g', 'Sugar': '1 g', 'Vitamin A': '1297 IU', 'Vitamin C': '5 mg', 'Calcium': '54 mg', 'Iron': '1 mg'}","{'PrepTime': '10 minutes', 'CookTime': '30 minutes', 'Restingtime': '40 minutes'}"
https://recipe52.com/wp-content/uploads/2023/06/Chicken-Bread-slice-5-360x360.jpg,Chicken Bread Recipe,"Breakfast, Dinner Recipes, Iftar, Snack",World,chicken bread,Want a light chicken bread that is filled with juicy filling and can be the center of attention on the table. This is the best chicken bread recipe that is soft and fluffy like bread should be and the filling is amazing.,"['flour', 'salt', 'sugar', 'milk', 'egg', 'butter or oil', 'instant yeast', 'boneless chicken breast', 'cumin powder', 'paprika', 'minced garlic', 'black pepper', 'lemon juice', 'diced green chilies', 'salt', 'oil', 'mixed chopped veggies', 'flour', 'milk', 'shredded cheddar cheese', 'chopped green onions', 'chili garlic sauce or ketchup or pizza sauce', 'egg beaten for egg wash', 'Sesame seeds', 'Black seeds']","{'Calories': '563 kcal', 'Carbohydrates': '70 g', 'Protein': '22 g', 'Fat': '21 g', 'Saturated Fat': '6 g', 'Polyunsaturated Fat': '4 g', 'Monounsaturated Fat': '8 g', 'Trans Fat': '0.1 g', 'Cholesterol': '98 mg', 'Sodium': '845 mg', 'Potassium': '421 mg', 'Fiber': '4 g', 'Sugar': '6 g', 'Vitamin A': '2411 IU', 'Vitamin C': '8 mg', 'Calcium': '189 mg', 'Iron': '5 mg'}","{'PrepTime': '2 hours', 'CookTime': '30 minutes'}"
https://recipe52.com/wp-content/uploads/2020/05/Dynamite-Chicken-15-360x360.jpg,Dynamite Chicken,Appetizer,World,Dynamite Chicken,Drizzle sauce over chicken just before serving. A great recipe for an appetiser.,"['boneless chicken breast', 'baking powder', 'mayonnaise', 'chipotle sauce', 'ketchup', 'honey', 'garlic powder', 'soya sauce', 'red chili powder', 'garlic powder', 'salt', ' flour', 'cornflour', 'paprika', 'black pepper', 'salt', 'eggs', 'Oil ']","{'Calories': '730 kcal', 'Carbohydrates': '34 g', 'Protein': '32 g', 'Fat': '51 g', 'Saturated Fat': '7 g', 'Polyunsaturated Fat': '24 g', 'Monounsaturated Fat': '18 g', 'Trans Fat': '0.2 g', 'Cholesterol': '179 mg', 'Sodium': '1699 mg', 'Potassium': '617 mg', 'Fiber': '2 g', 'Sugar': '4 g', 'Vitamin A': '1234 IU', 'Vitamin C': '2 mg', 'Calcium': '64 mg', 'Iron': '2 mg'}","{'PrepTime': '25 minutes', 'CookTime': '10 minutes'}"
